NumGRASP , NumLS , strikes, FuncionObjetivo Sin Pesos , FuncionObjetivo Con pesos , Fosforo ,  Peso Fosforo, CantIncUsos, Peso CantIncUsos, CantIncProd, Peso CantIncProd
0 , 1 , 0 , 0.981256 , 0.981256 , 0.668756 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
0 , 3 , 0 , 0.946626 , 0.993561 , 0.696626 , 1.1 , 0.000000 , 1.0 , 0.250000 , 0.9090909
0 , 4 , 1 , 0.946626 , 0.993561 , 0.696626 , 1.1 , 0.000000 , 1.0 , 0.250000 , 0.9090909
0 , 5 , 2 , 0.946626 , 0.993561 , 0.696626 , 1.1 , 0.000000 , 1.0 , 0.250000 , 0.9090909
0 , 7 , 3 , 0.877406 , 0.844864 , 0.689906 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
0 , 8 , 4 , 0.877406 , 0.844864 , 0.689906 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
0 , 9 , 5 , 0.877406 , 0.844864 , 0.689906 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
0 , 10 , 6 , 0.877406 , 0.844864 , 0.689906 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
0 , 11 , 7 , 0.877406 , 0.844864 , 0.689906 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
1 , 1 , 0 , 0.964507 , 0.964507 , 0.714507 , 1.0 , 0.000000 , 1.0 , 0.250000 , 1.0
1 , 4 , 0 , 0.864627 , 0.847581 , 0.677127 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.9090909
1 , 8 , 1 , 0.780147 , 0.698894 , 0.655147 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 0.82644624
1 , 9 , 2 , 0.780147 , 0.698894 , 0.655147 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 0.82644624
1 , 10 , 3 , 0.780147 , 0.698894 , 0.655147 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 0.82644624
1 , 11 , 4 , 0.780147 , 0.698894 , 0.655147 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 0.82644624
2 , 1 , 0 , 0.997194 , 0.997194 , 0.684694 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
2 , 4 , 0 , 0.937932 , 0.915205 , 0.687932 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.9090909
2 , 5 , 1 , 0.937932 , 0.915205 , 0.687932 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.9090909
2 , 6 , 2 , 0.937932 , 0.915205 , 0.687932 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.9090909
2 , 7 , 3 , 0.937932 , 0.915205 , 0.687932 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.9090909
2 , 8 , 4 , 0.937932 , 0.915205 , 0.687932 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.9090909
2 , 9 , 5 , 0.937932 , 0.915205 , 0.687932 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.9090909
2 , 10 , 6 , 0.937932 , 0.915205 , 0.687932 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.9090909
2 , 11 , 7 , 0.937932 , 0.915205 , 0.687932 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.9090909
3 , 1 , 0 , 1.144905 , 1.144905 , 0.707405 , 1.0 , 0.000000 , 1.0 , 0.437500 , 1.0
3 , 4 , 0 , 1.041123 , 0.986887 , 0.728623 , 1.0 , 0.000000 , 1.0 , 0.312500 , 0.82644624
3 , 9 , 1 , 0.963916 , 0.777842 , 0.713916 , 0.82644624 , 0.000000 , 1.0 , 0.250000 , 0.75131476
3 , 13 , 2 , 0.802567 , 0.506092 , 0.677567 , 0.62092125 , 0.000000 , 1.0 , 0.125000 , 0.6830134
4 , 1 , 0 , 0.988012 , 0.988012 , 0.738012 , 1.0 , 0.000000 , 1.0 , 0.250000 , 1.0
4 , 2 , 0 , 0.988012 , 0.988012 , 0.738012 , 1.0 , 0.000000 , 1.0 , 0.250000 , 1.0
4 , 3 , 1 , 0.988012 , 0.988012 , 0.738012 , 1.0 , 0.000000 , 1.0 , 0.250000 , 1.0
4 , 4 , 2 , 0.996560 , 0.996560 , 0.684060 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
4 , 5 , 3 , 0.996510 , 0.996510 , 0.684010 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
4 , 6 , 4 , 0.996510 , 0.996510 , 0.684010 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
4 , 7 , 5 , 0.996510 , 0.996510 , 0.684010 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
4 , 8 , 6 , 0.996510 , 0.996510 , 0.684010 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
4 , 9 , 7 , 0.989614 , 0.989614 , 0.677114 , 1.0 , 0.062500 , 1.0 , 0.250000 , 1.0
4 , 11 , 8 , 0.986723 , 0.931680 , 0.674223 , 0.9090909 , 0.062500 , 1.1 , 0.250000 , 1.0
5 , 1 , 0 , 1.172138 , 1.172138 , 0.734638 , 1.0 , 0.000000 , 1.0 , 0.437500 , 1.0
5 , 3 , 0 , 0.919454 , 0.835867 , 0.669454 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 0.9090909
5 , 4 , 1 , 0.919454 , 0.835867 , 0.669454 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 0.9090909
5 , 5 , 2 , 0.919454 , 0.835867 , 0.669454 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 0.9090909
5 , 6 , 3 , 0.919454 , 0.835867 , 0.669454 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 0.9090909
5 , 8 , 4 , 0.890912 , 0.756952 , 0.640912 , 0.82644624 , 0.000000 , 1.0 , 0.250000 , 0.9090909
5 , 9 , 5 , 0.890912 , 0.756952 , 0.640912 , 0.82644624 , 0.000000 , 1.0 , 0.250000 , 0.9090909
5 , 10 , 6 , 0.890912 , 0.756952 , 0.640912 , 0.82644624 , 0.000000 , 1.0 , 0.250000 , 0.9090909
5 , 11 , 7 , 0.890912 , 0.756952 , 0.640912 , 0.82644624 , 0.000000 , 1.0 , 0.250000 , 0.9090909
6 , 1 , 0 , 1.054554 , 1.054554 , 0.679554 , 1.0 , 0.000000 , 1.0 , 0.375000 , 1.0
6 , 4 , 0 , 0.938211 , 0.905670 , 0.750711 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
6 , 5 , 1 , 0.938211 , 0.905670 , 0.750711 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
6 , 6 , 2 , 0.938211 , 0.905670 , 0.750711 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
6 , 8 , 3 , 0.925344 , 0.825726 , 0.737844 , 0.9090909 , 0.000000 , 1.0 , 0.187500 , 0.82644624
6 , 9 , 4 , 0.925344 , 0.825726 , 0.737844 , 0.9090909 , 0.000000 , 1.0 , 0.187500 , 0.82644624
6 , 11 , 5 , 0.910805 , 0.773393 , 0.660805 , 0.82644624 , 0.000000 , 1.0 , 0.250000 , 0.9090909
7 , 1 , 0 , 0.963398 , 0.963398 , 0.713398 , 1.0 , 0.000000 , 1.0 , 0.250000 , 1.0
7 , 3 , 0 , 0.853816 , 0.915334 , 0.728816 , 1.1 , 0.000000 , 1.0 , 0.125000 , 0.9090909
7 , 4 , 1 , 0.853816 , 0.915334 , 0.728816 , 1.1 , 0.000000 , 1.0 , 0.125000 , 0.9090909
7 , 5 , 2 , 0.853816 , 0.915334 , 0.728816 , 1.1 , 0.000000 , 1.0 , 0.125000 , 0.9090909
7 , 6 , 3 , 0.853816 , 0.915334 , 0.728816 , 1.1 , 0.000000 , 1.0 , 0.125000 , 0.9090909
7 , 7 , 4 , 0.853816 , 0.915334 , 0.728816 , 1.1 , 0.000000 , 1.0 , 0.125000 , 0.9090909
7 , 8 , 5 , 0.853816 , 0.915334 , 0.728816 , 1.1 , 0.000000 , 1.0 , 0.125000 , 0.9090909
7 , 9 , 6 , 0.853816 , 0.915334 , 0.728816 , 1.1 , 0.000000 , 1.0 , 0.125000 , 0.9090909
7 , 10 , 7 , 0.853816 , 0.915334 , 0.728816 , 1.1 , 0.000000 , 1.0 , 0.125000 , 0.9090909
7 , 11 , 8 , 0.853816 , 0.915334 , 0.728816 , 1.1 , 0.000000 , 1.0 , 0.125000 , 0.9090909
8 , 1 , 0 , 1.032065 , 1.032065 , 0.719565 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
8 , 3 , 0 , 0.970468 , 1.019788 , 0.720468 , 1.1 , 0.000000 , 1.0 , 0.250000 , 0.9090909
8 , 4 , 1 , 0.970468 , 1.019788 , 0.720468 , 1.1 , 0.000000 , 1.0 , 0.250000 , 0.9090909
8 , 5 , 2 , 0.970468 , 1.019788 , 0.720468 , 1.1 , 0.000000 , 1.0 , 0.250000 , 0.9090909
8 , 6 , 3 , 0.970468 , 1.019788 , 0.720468 , 1.1 , 0.000000 , 1.0 , 0.250000 , 0.9090909
8 , 8 , 4 , 0.891082 , 0.858541 , 0.703582 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
8 , 9 , 5 , 0.891082 , 0.858541 , 0.703582 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
8 , 10 , 6 , 0.891082 , 0.858541 , 0.703582 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
8 , 11 , 7 , 0.891082 , 0.858541 , 0.703582 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
9 , 1 , 0 , 0.990547 , 0.990547 , 0.740547 , 1.0 , 0.000000 , 1.0 , 0.250000 , 1.0
9 , 3 , 0 , 0.981805 , 0.915278 , 0.731805 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 1.0
9 , 4 , 1 , 0.981805 , 0.915278 , 0.731805 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 1.0
9 , 5 , 2 , 0.981805 , 0.915278 , 0.731805 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 1.0
9 , 7 , 3 , 0.964881 , 0.882908 , 0.652381 , 0.82644624 , 0.000000 , 1.0 , 0.312500 , 1.1
9 , 8 , 4 , 0.964881 , 0.882908 , 0.652381 , 0.82644624 , 0.000000 , 1.0 , 0.312500 , 1.1
9 , 9 , 5 , 0.964881 , 0.882908 , 0.652381 , 0.82644624 , 0.000000 , 1.0 , 0.312500 , 1.1
9 , 11 , 6 , 0.880324 , 0.811658 , 0.755324 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 1.0
10 , 1 , 0 , 1.192189 , 1.192189 , 0.692189 , 1.0 , 0.187500 , 1.0 , 0.312500 , 1.0
10 , 3 , 0 , 1.008304 , 1.049475 , 0.695804 , 1.1 , 0.062500 , 0.9090909 , 0.250000 , 0.9090909
10 , 4 , 1 , 1.008304 , 1.049475 , 0.695804 , 1.1 , 0.062500 , 0.9090909 , 0.250000 , 0.9090909
10 , 9 , 2 , 0.825584 , 0.794498 , 0.700584 , 1.0 , 0.000000 , 1.0 , 0.125000 , 0.75131476
10 , 10 , 3 , 0.825584 , 0.794498 , 0.700584 , 1.0 , 0.000000 , 1.0 , 0.125000 , 0.75131476
10 , 11 , 4 , 0.825584 , 0.794498 , 0.700584 , 1.0 , 0.000000 , 1.0 , 0.125000 , 0.75131476
11 , 1 , 0 , 0.883863 , 0.883863 , 0.758863 , 1.0 , 0.000000 , 1.0 , 0.125000 , 1.0
11 , 2 , 0 , 0.883863 , 0.883863 , 0.758863 , 1.0 , 0.000000 , 1.0 , 0.125000 , 1.0
11 , 3 , 1 , 0.883863 , 0.883863 , 0.758863 , 1.0 , 0.000000 , 1.0 , 0.125000 , 1.0
11 , 4 , 2 , 0.883863 , 0.883863 , 0.758863 , 1.0 , 0.000000 , 1.0 , 0.125000 , 1.0
11 , 6 , 3 , 0.809310 , 0.747100 , 0.684310 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 1.0
11 , 7 , 4 , 0.809310 , 0.747100 , 0.684310 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 1.0
11 , 8 , 5 , 0.809310 , 0.747100 , 0.684310 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 1.0
11 , 9 , 6 , 0.809310 , 0.747100 , 0.684310 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 1.0
11 , 10 , 7 , 0.809310 , 0.747100 , 0.684310 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 1.0
11 , 11 , 8 , 0.809310 , 0.747100 , 0.684310 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 1.0
12 , 1 , 0 , 0.991225 , 0.991225 , 0.678725 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
12 , 2 , 0 , 0.991225 , 0.991225 , 0.678725 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
12 , 3 , 1 , 0.991225 , 0.991225 , 0.678725 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
12 , 4 , 2 , 0.991225 , 0.991225 , 0.678725 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
12 , 5 , 3 , 0.991225 , 0.991225 , 0.678725 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
12 , 9 , 4 , 0.855685 , 0.762400 , 0.668185 , 0.9090909 , 0.000000 , 1.0 , 0.187500 , 0.82644624
12 , 10 , 5 , 0.855685 , 0.762400 , 0.668185 , 0.9090909 , 0.000000 , 1.0 , 0.187500 , 0.82644624
12 , 11 , 6 , 0.855685 , 0.762400 , 0.668185 , 0.9090909 , 0.000000 , 1.0 , 0.187500 , 0.82644624
13 , 1 , 0 , 1.067370 , 1.067370 , 0.754870 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
13 , 2 , 0 , 1.067370 , 1.067370 , 0.754870 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
13 , 7 , 1 , 0.914717 , 0.776626 , 0.664717 , 0.82644624 , 0.000000 , 1.0 , 0.250000 , 0.9090909
13 , 8 , 2 , 0.914717 , 0.776626 , 0.664717 , 0.82644624 , 0.000000 , 1.0 , 0.250000 , 0.9090909
13 , 9 , 3 , 0.914717 , 0.776626 , 0.664717 , 0.82644624 , 0.000000 , 1.0 , 0.250000 , 0.9090909
13 , 11 , 4 , 0.908615 , 0.722100 , 0.658615 , 0.75131476 , 0.000000 , 1.0 , 0.250000 , 0.9090909
14 , 1 , 0 , 1.106184 , 1.106184 , 0.731184 , 1.0 , 0.000000 , 1.0 , 0.375000 , 1.0
14 , 3 , 0 , 0.889137 , 0.808306 , 0.639137 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 0.9090909
14 , 4 , 1 , 0.889137 , 0.808306 , 0.639137 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 0.9090909
14 , 5 , 2 , 0.889137 , 0.808306 , 0.639137 , 0.9090909 , 0.000000 , 1.0 , 0.250000 , 0.9090909
